FID,Shape *,Field1,ID,Genus,Species,Subspecies,Sex,Habitat,Collection,count,Natural_in,observatio,num_identi,num_iden_1,Location,MunicipioC,StateProvi,Country,DecimalLon,Altitude_M,georeferen,positional,public_pos,geoprivacy,Comments_o,year_begin,month_begi,day_begin,year_end,month_end,day_end,time,time_zone,time_notes,time_comme,Primary_Co,Secondary_,Primary__1,Secondary1,data_quali,duplicatio,coordinate,on_the_lan,select_for,DecimalLat,duplicat_1
10,Point,20,2267,Triatoma,protracta, , , ,HUMAN_OBSERVATION,1, , , , , ,Madera,California,United States,-120.060718, ,GeoLocate,0, , , ,2018,8,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,Location different, ,TRUE,36.961336, 
11,Point,21,2270,Triatoma,protracta, , , ,HUMAN_OBSERVATION,1, , , , , ,El Dorado,California,United States,-120.847715, ,GeoLocate,0, , , ,2018,9,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,Location different, ,TRUE,38.682682, 
12,Point,22,2350,Triatoma,protracta, , , ,HUMAN_OBSERVATION,1, , , , , ,Yavapai,Arizona,United States,-112.3667, ,GeoLocate,0, , , ,2016,4,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,"[2350 2351 2355 2550 2552 2555 2556 2561 2566 2568 2570 2572 2576 2579
 2580 2581 2583 2584 2586 2587 2591 2594 2595 2596 2599 2600 2602 2604
 2607 2937 4531 4539 4541 4544 4562 4563 4565]",Location different, ,TRUE,34.5, 
13,Point,30,2593,Triatoma,protracta, , , ,HUMAN_OBSERVATION,1, , , , , ,Mendocino,California,United States,-123.799459, ,GeoLocate,0, , , ,2018,8,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,[2593 2597 2598 2603 2606 6632],Location different, ,TRUE,39.307674,TRUE
14,Point,36,2772,Triatoma,protracta, , , ,HUMAN_OBSERVATION,1, , , , , ,Presidio,Texas,United States,-104.372146, ,GeoLocate,0, , , ,2016,4,0, , , , , , , , , ,"Texas A&M University Kissing Bug Community Science Program;Program Leaders: Sarah A. Hamer, Rachel Curtis-Robles, Gabriel L. Hamer----https://kissingbug.tamu.edu/Map/","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT, ,Location different, ,TRUE,29.560738, 
15,Point,38,3058,Triatoma,protracta, , ,Silvestre,HUMAN_OBSERVATION,0, , , , , ,Webb,Texas,United States,-99.033811, ,Google Earth,9, , , ,0,0,0, , , , , , , , , ,"nan----Wood, S. F. (1941). Notes on the distribution and habits of reduviid vectors of chagas' disease in the southwestern United States (Hemiptera, Reduviidae). The Pan-Pacific Entomologist, 17(2), 85–94.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK, ,Location different, ,TRUE,27.816177, 
16,Point,39,3065,Triatoma,protracta, , ,Silvestre,HUMAN_OBSERVATION,0, , , , , ,Hudspeth,Texas,United States,-105.594339, ,Google Earth,9, , , ,0,0,0, , , , , , , , , ,"nan----Wood, S. F. (1941). Notes on the distribution and habits of reduviid vectors of chagas' disease in the southwestern United States (Hemiptera, Reduviidae). The Pan-Pacific Entomologist, 17(2), 85–94.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK, ,Location different, ,TRUE,31.570744, 
17,Point,40,3066,Triatoma,protracta, , ,Silvestre,HUMAN_OBSERVATION,0, , , , , ,Socorro,New Mexico,United States,-106.891416, ,Google Earth,9, , , ,0,0,0, , , , , , , , , ,"nan----Wood, S. F. (1941). Notes on the distribution and habits of reduviid vectors of chagas' disease in the southwestern United States (Hemiptera, Reduviidae). The Pan-Pacific Entomologist, 17(2), 85–94.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK, ,Location different, ,TRUE,34.0584, 
18,Point,41,3071,Triatoma,protracta, , ,Silvestre,HUMAN_OBSERVATION,0, , , , , ,Brewster,Texas,United States,-103.24462, ,Google Earth,9, , , ,0,0,0, , , , , , , , , ,"nan----Wood, S. F. (1941). Notes on the distribution and habits of reduviid vectors of chagas' disease in the southwestern United States (Hemiptera, Reduviidae). The Pan-Pacific Entomologist, 17(2), 85–94.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK,[3071 3455 18693],Location different, ,TRUE,30.205169,TRUE
19,Point,42,3073,Triatoma,protracta, , ,Silvestre,HUMAN_OBSERVATION,0, , , , , ,Maverick,Texas,United States,-100.499521, ,Google Earth,9, , , ,0,0,0, , , , , , , , , ,"nan----Wood, S. F. (1941). Notes on the distribution and habits of reduviid vectors of chagas' disease in the southwestern United States (Hemiptera, Reduviidae). The Pan-Pacific Entomologist, 17(2), 85–94.","Ceccarelli S, Balsalobre A, Cano M E, Vicente M E, Rabinovich J E, Medone P, Rocchi V M, Galliari J G, Marti G A (2022). Datos de ocurrencia de triatominos americanos del Laboratorio de Triatominos del CEPAVE (CONICET-UNLP). Version 1.6. Centro de Estudi",CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK, ,Location different, ,TRUE,28.709143, 
